line_number,log_level,content_type,priority,manual_annotation_needed,original_log,category,message
19370,UNKNOWN,stack_exception,1,True,Caused by: java.util.concurrent.ExecutionException: org.apache.catalina.LifecycleException: Failed to initialize component [org.apache.catalina.webresources.DirResourceSet@5d58c727],stack_exception,19370
16379,ERROR,stack_exception,1,True,"}"",unknown,github_issue,spring-projects/spring-security,15476,Unable to change error message on login failure,https://github.com/spring-projects/spring-security/issues/15476",stack_exception,16379
3501,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:202) ~[spring-beans-6.2.5.jar:6.2.5],stack_exception,3501
21275,UNKNOWN,stack_exception,1,True,at org.springframework.web.servlet.DispatcherServlet.processDispatchResult(DispatcherServlet.java:1167),stack_exception,21275
1395,UNKNOWN,stack_exception,1,True,at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885),stack_exception,1395
18425,UNKNOWN,stack_exception,1,True,at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140) ~[tomcat-embed-core-10.1.24.jar:10.1.24],stack_exception,18425
14762,UNKNOWN,stack_exception,1,True,": new SQLStateSQLExceptionTranslator();"",unknown,github_issue,spring-projects/spring-boot,44869,Wrong jOOQ exception translator with empty db name,https://github.com/spring-projects/spring-boot/issues/44869",stack_exception,14762
11432,UNKNOWN,stack_exception,1,True,at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:267) ~[tomcat-embed-core-10.1.31.jar:10.1.31],stack_exception,11432
8307,UNKNOWN,stack_exception,1,True,at org.postgresql.jdbc.PgPreparedStatement.setObject(PgPreparedStatement.java:987) ~[postgresql-42.7.4.jar:42.7.4],stack_exception,8307
21285,UNKNOWN,stack_exception,1,True,at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51),stack_exception,21285
1564,ERROR,stack_exception,1,True,"java.lang.AssertionError:"",unknown,github_issue,jhipster/generator-jhipster,29641,persistent integration test failure,https://github.com/jhipster/generator-jhipster/issues/29641",stack_exception,1564
1676,ERROR,stack_exception,1,True,"[ERROR] See dump files (if any exist) [date].dump, [date]-jvmRun[N].dump and [date].dumpstream.",stack_exception,1676
13065,UNKNOWN,stack_exception,1,True,at org.springframework.boot.autoconfigure.security.oauth2.server.servlet.OAuth2AuthorizationServerConfiguration.<init>(OAuth2AuthorizationServerConfiguration.java:41),stack_exception,13065
14522,UNKNOWN,stack_exception,1,True,at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:420),stack_exception,14522
16830,UNKNOWN,stack_exception,1,True,at org.springframework.security.oauth2.client.web.DefaultOAuth2AuthorizedClientManager.authorize(DefaultOAuth2AuthorizedClientManager.java:176) ~[spring-security-oauth2-client-6.3.1.jar:6.3.1],stack_exception,16830
2833,UNKNOWN,stack_exception,1,True,Halo  | 	at com.fasterxml.jackson.databind.jsontype.impl.AsPropertyTypeDeserializer._deserializeTypedForId(AsPropertyTypeDeserializer.java:170) ~[jackson-databind-2.18.3.jar:2.18.3],stack_exception,2833
21899,UNKNOWN,stack_exception,1,True,at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67),stack_exception,21899
28098,UNKNOWN,stack_exception,1,True,at java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(java.base@21.0.5/AbstractQueuedSynchronizer.java:1712),stack_exception,28098
8060,UNKNOWN,stack_exception,1,True,at com.mongodb.client.internal.MongoClientImpl.getStreamFactory(MongoClientImpl.java:304) ~[na:na],stack_exception,8060
1887,UNKNOWN,stack_exception,1,True,at org.springframework.util.ClassUtils.resolveClassName(ClassUtils.java:353) ~[spring-core-7.0.0-SNAPSHOT.jar:7.0.0-SNAPSHOT],stack_exception,1887
5203,UNKNOWN,stack_exception,1,True,at org.gradle.internal.event.ListenerBroadcast.dispatch(ListenerBroadcast.java:37),stack_exception,5203
10747,UNKNOWN,stack_exception,1,True,at org.springframework.boot.context.logging.LoggingApplicationListener.initialize(LoggingApplicationListener.java:298),stack_exception,10747
10181,UNKNOWN,stack_exception,1,True,at org.springframework.security.web.session.SessionManagementFilter.doFilter(SessionManagementFilter.java:91) ~[spring-security-web-6.4.1.jar:6.4.1],stack_exception,10181
4871,UNKNOWN,stack_exception,1,True,at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140) ~[tomcat-embed-core-10.1.41.jar:10.1.41],stack_exception,4871
10760,UNKNOWN,stack_exception,1,True,at org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1190) ~[tomcat-embed-core-10.1.33.jar:10.1.33],stack_exception,10760
12568,UNKNOWN,stack_exception,1,True,at org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93),stack_exception,12568
11376,ERROR,stack_exception,1,True,"String.format(ENCODING_ERROR_MESSAGE_TEMPLATE, """"Failed to select a JWK signing key""""));",stack_exception,11376
11678,UNKNOWN,stack_exception,1,True,at java.util.concurrent.ThreadPoolExecutor.runWorker(java.base@17.0.13/ThreadPoolExecutor.java:1122),stack_exception,11678
16362,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:202) ~[demo:6.2.3],stack_exception,16362
11057,UNKNOWN,stack_exception,1,True,at org.springframework.jdbc.core.JdbcTemplate$1.doInPreparedStatement(JdbcTemplate.java:733) ~[spring-jdbc-6.2.0.jar:6.2.0],stack_exception,11057
4344,UNKNOWN,stack_exception,1,True,jhipster-registry-1  | 	at org.springframework.boot.web.embedded.undertow.UndertowServletWebServerFactory$Initializer.onStartup(UndertowServletWebServerFactory.java:508),stack_exception,4344
27311,UNKNOWN,stack_exception,1,True,at io.netty.resolver.dns.DnsAddressResolveContext.doSearchDomainQuery(DnsAddressResolveContext.java:99),stack_exception,27311
28205,UNKNOWN,stack_exception,1,True,at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:526),stack_exception,28205
4547,UNKNOWN,stack_exception,1,True,CustomAuthenticationEntryPoint customAuthenticationEntryPoint) throws Exception {,stack_exception,4547
21906,UNKNOWN,stack_exception,1,True,at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116),stack_exception,21906
549,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingleton(DefaultListableBeanFactory.java:1173),stack_exception,549
21850,UNKNOWN,stack_exception,1,True,at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374) ~[spring-security-web-6.2.4.jar:6.2.4],stack_exception,21850
9418,UNKNOWN,stack_exception,1,True,at org.springframework.cache.interceptor.CacheAspectSupport.execute(CacheAspectSupport.java:448),stack_exception,9418
21291,UNKNOWN,stack_exception,1,True,at org.springframework.security.web.ObservationFilterChainDecorator$AroundFilterObservation$SimpleAroundFilterObservation.lambda$wrap$1(ObservationFilterChainDecorator.java:340),stack_exception,21291
13833,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.instantiateUsingFactoryMethod(AbstractAutowireCapableBeanFactory.java:1351) ~[spring-beans-6.2.0-RC1.jar:6.2.0-RC1],stack_exception,13833
5292,UNKNOWN,stack_exception,1,True,at org.gradle.internal.dispatch.ReflectionDispatch.dispatch(ReflectionDispatch.java:24),stack_exception,5292
12583,UNKNOWN,stack_exception,1,True,at org.gradle.internal.metaobject.AbstractDynamicObject.getProperty(AbstractDynamicObject.java:62),stack_exception,12583
3608,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DefaultListableBeanFactory.java:1616) ~[spring-beans-6.2.5.jar:6.2.5],stack_exception,3608
455,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.populateBean(AbstractAutowireCapableBeanFactory.java:1447),stack_exception,455
14365,UNKNOWN,stack_exception,1,True,at java.base/java.lang.ClassLoader.loadClass(ClassLoader.java:526),stack_exception,14365
